id;actor_name;ph_number
1;Stravenue Checking Account Corporate;attitude users transparent
2;monitor alliance Auto Loan Account;Fantastic Soft Ball primary
3;bus Clothing;European Unit of Account 17(E.U.A.-17) open architecture
4;New Hampshire mint green Keyboard;GB incentivize Regional
5;Home one-to-one;Silver RAM JBOD
6;Croatia;Village middleware
7;Soap Metal;back-end
8;bus Ergonomic Frozen Fish Computer;tan parse
9;Books target;transmitter
10;Belize;Concrete Handmade Frozen Computer Compatible
