id;question;opt_1;opt_2;opt_3;opt_4;answer
1;European Monetary Unit (E.M.U.-6) Colombian Peso Unidad de Valor Real systemic;Inverse maximized Internal;neural;Beauty;Borders protocol Pants;Avon invoice
2;incubate alarm;deposit;withdrawal Checking Account;web-readiness Auto Loan Account Sausages;Agent Licensed Frozen Shoes;Nevada Cliff Handmade Frozen Hat
3;lavender;sky blue New York Personal Loan Account;yellow Investor bricks-and-clicks;Bedfordshire Croatia Infrastructure;Sudanese Pound;Practical Rubber Health
4;Diverse;Investment Account;cross-platform;Designer alarm Gold;Suriname;Arkansas
5;Central Directives Multi-tiered;Japan copying Cross-platform;next-generation;Fresh Vermont Checking Account;magnetic Gloves;PNG
6;hacking;salmon;multimedia Cotton;copying;payment;Direct bus Right-sized
7;withdrawal copy;quantifying circuit;Interactions;purple grow Fresh;navigating Sleek;Personal Loan Account
8;quantifying Investment Account Supervisor;JBOD plug-and-play;XSS bypassing;Liberian Dollar;real-time Montenegro;Mississippi
9;Turks and Caicos Islands;Direct array;Money Market Account Coordinator Grocery;Practical Minnesota;help-desk indexing;Pine Generic
10;Bacon Assistant homogeneous;input panel;Pennsylvania;program Drive Brand;Awesome Cotton Pizza Chicken;ivory platforms
